Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Rhabdadenia biflora voucher S. Zona 616 (FTG) plastid, partial genome",Rhabdadenia biflora,370,370,100%,7.999999999999998e-98,96.85,153376,KJ953911.1
"Oncinotis tenuiloba voucher S. Liede 3621 (UBT) plastid, complete genome",Oncinotis tenuiloba,370,370,100%,7.999999999999998e-98,96.85,155011,KJ953908.1
"Echites umbellatus voucher M. Vincent 11468 (GH) plastid, complete genome",Echites umbellatus,370,370,100%,7.999999999999998e-98,96.85,153970,KJ953904.1
"Laggera crispata chloroplast, complete genome",Laggera crispata,370,370,100%,7.999999999999998e-98,96.85,155522,OK323148.1
"Uncaria hirsuta chloroplast, complete genome",Uncaria hirsuta,370,370,100%,7.999999999999998e-98,96.85,155138,OK493296.1
"Uncaria macrophylla chloroplast, complete genome",Uncaria macrophylla,370,370,100%,7.999999999999998e-98,96.85,155145,MZ869757.1
"Saussurea tanguensis chloroplast, complete genome",Saussurea tanguensis,370,370,100%,7.999999999999998e-98,96.85,150610,MN473457.1
"Cinchona officinalis chloroplast, complete genome",Cinchona officinalis,370,370,100%,7.999999999999998e-98,96.85,156984,MZ151891.1
"TPA: Blumea oxyodonta chloroplast, complete genome",Blumea oxyodonta,370,370,100%,7.999999999999998e-98,96.85,150997,BK013128.1
"Ophiorrhiza densa chloroplast, complete genome",Ophiorrhiza densa,370,370,100%,7.999999999999998e-98,96.85,154079,NC_058252.1
"Gynochthodes parvifolia chloroplast, complete genome",Gynochthodes parvifolia,370,370,100%,7.999999999999998e-98,96.85,153069,NC_054151.1
"Leptodermis oblonga chloroplast, complete genome",Leptodermis oblonga,370,370,100%,7.999999999999998e-98,96.85,155100,NC_057533.1
"Nouelia insignis chloroplast, complete genome",Nouelia insignis,370,370,100%,7.999999999999998e-98,96.85,151524,NC_057206.1
"Leucomeris decora chloroplast, complete genome",Leucomeris decora,370,370,100%,7.999999999999998e-98,96.85,151491,NC_057205.1
"Lactuca raddeana chloroplast, complete genome",Lactuca raddeana,370,370,100%,7.999999999999998e-98,96.85,152339,NC_056380.1
"Periploca forrestii chloroplast, complete genome",Periploca forrestii,370,370,100%,7.999999999999998e-98,96.85,153826,NC_056319.1
"Gynochthodes cochinchinensis voucher SZG20181208014 chloroplast, complete genome",Gynochthodes cochinchinensis,370,370,100%,7.999999999999998e-98,96.85,153022,NC_053818.1
"Cirsium setosum chloroplast, complete genome",Cirsium setosum,370,370,100%,7.999999999999998e-98,96.85,152403,NC_052868.1
"Tectona grandis chloroplast, complete genome",Tectona grandis,368,368,99%,2.999999999999999e-97,96.83,153953,MN814870.1
"Caryopteris trichosphaera chloroplast, complete genome",Caryopteris trichosphaera,368,368,99%,2.999999999999999e-97,96.83,151380,MN814860.1
"Caryopteris mongholica chloroplast, complete genome",Caryopteris mongholica,368,368,99%,2.999999999999999e-97,96.83,151635,MN814859.1
"Salvia prattii chloroplast, complete genome",Salvia prattii,368,368,99%,2.999999999999999e-97,96.83,151690,MK944407.1
"Salvia roborowskii chloroplast, complete genome",Salvia roborowskii,368,368,99%,2.999999999999999e-97,96.83,151654,MK944406.1
"Salvia yunnanensis chloroplast, complete genome",Salvia yunnanensis,368,368,99%,2.999999999999999e-97,96.83,151396,MK944405.1
"Mentha x piperita chloroplast, complete genome",Mentha x piperita,368,368,99%,2.999999999999999e-97,96.83,152048,NC_047475.1
"Mentha x piperita chloroplast, complete genome",Mentha x piperita,368,368,99%,2.999999999999999e-97,96.83,152048,MN736963.1
"Thymus japonicus chloroplast, complete genome",Thymus japonicus,368,368,99%,2.999999999999999e-97,96.83,151782,NC_046822.1
"Thymus mongolicus chloroplast, complete genome",Thymus mongolicus,368,368,99%,2.999999999999999e-97,96.83,151834,NC_046520.1
"Caryopteris incana chloroplast, complete genome",Caryopteris incana,368,368,99%,2.999999999999999e-97,96.83,151687,NC_046409.1
"Thymus japonicus chloroplast, complete genome",Thymus japonicus,368,368,99%,2.999999999999999e-97,96.83,151782,MN867687.1
"Caryopteris incana chloroplast, complete genome",Caryopteris incana,368,368,99%,2.999999999999999e-97,96.83,151687,MN918534.1
"Thymus mongolicus chloroplast, complete genome",Thymus mongolicus,368,368,99%,2.999999999999999e-97,96.83,151834,MN509584.1
"Amphilophium pilosum voucher G. Yuncker 5738 chloroplast, complete genome",Amphilophium pilosum,368,368,99%,2.999999999999999e-97,96.83,163689,NC_042919.1
"Amphilophium paniculatum voucher D. Daly 374 chloroplast, complete genome",Amphilophium paniculatum,368,368,99%,2.999999999999999e-97,96.83,163710,NC_042918.1
"Amphilophium ecuadorense voucher D. Rubio 1971 chloroplast, complete genome",Amphilophium ecuadorense,368,368,99%,2.999999999999999e-97,96.83,163543,NC_042917.1
"Amphilophium cuneifolium voucher D. Sasaki 2290 chloroplast, complete genome",Amphilophium cuneifolium,368,368,99%,2.999999999999999e-97,96.83,157070,NC_042915.1
"Ligustrum japonicum voucher A:201-2000-A chloroplast, complete genome",Ligustrum japonicum,368,368,99%,2.999999999999999e-97,96.83,163562,NC_042454.1
"Amphilophium pilosum voucher G. Yuncker 5738 chloroplast, complete genome",Amphilophium pilosum,368,368,99%,2.999999999999999e-97,96.83,163689,MK415798.1
"Amphilophium paniculatum voucher D. Daly 374 chloroplast, complete genome",Amphilophium paniculatum,368,368,99%,2.999999999999999e-97,96.83,163710,MK415797.1
"Amphilophium ecuadorense voucher D. Rubio 1971 chloroplast, complete genome",Amphilophium ecuadorense,368,368,99%,2.999999999999999e-97,96.83,163543,MK415796.1
"Amphilophium cuneifolium voucher D. Sasaki 2290 chloroplast, complete genome",Amphilophium cuneifolium,368,368,99%,2.999999999999999e-97,96.83,157070,MK415794.1
"Ligustrum japonicum voucher A:201-2000-A chloroplast, complete genome",Ligustrum japonicum,368,368,99%,2.999999999999999e-97,96.83,163562,MH817915.1
"Chionanthus ramiflorus voucher MPU:T. Flynn 6332 chloroplast, complete genome",Chionanthus ramiflorus,368,368,99%,2.999999999999999e-97,96.83,155700,MH817896.1
"Salvia bulleyana chloroplast, complete genome",Salvia bulleyana,368,368,99%,2.999999999999999e-97,96.83,151547,NC_041092.1
"Salvia przewalskii chloroplast, complete genome",Salvia przewalskii,368,368,99%,2.999999999999999e-97,96.83,151319,NC_041091.1
"Salvia przewalskii plastid, complete genome",Salvia przewalskii,368,368,99%,2.999999999999999e-97,96.83,152678,MK344723.1
"Rehmannia glutinosa isolate IM160530-9 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153680,MG977439.1
"Rehmannia glutinosa cultivar Jiwhang 1 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153499,MG977438.1
"Salvia chanryoenica chloroplast, complete genome",Salvia chanryoenica,368,368,99%,2.999999999999999e-97,96.83,151689,NC_040121.1
"Bignonia corymbosa voucher M.R. Pace 111 photosystem II protein H (psbH) gene, complete cds; chloroplast",Bignonia corymbosa,368,368,99%,2.999999999999999e-97,96.83,222,MG750236.1
"Adenocalymma salmoneum voucher L.G. Lohmann 657 photosystem II protein H (psbH) gene, complete cds; chloroplast",Adenocalymma salmoneum,368,368,99%,2.999999999999999e-97,96.83,222,MG750235.1
"Amphilophium sandwithii voucher M. Serrano 5441 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium sandwithii,368,368,99%,2.999999999999999e-97,96.83,222,MG750233.1
"Amphilophium rodriguesii voucher L.G. Lohmann 475 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium rodriguesii,368,368,99%,2.999999999999999e-97,96.83,222,MG750232.1
"Amphilophium pilosum voucher G. Yuncker 5738 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium pilosum,368,368,99%,2.999999999999999e-97,96.83,222,MG750231.1
"Amphilophium perbracteatum voucher R.M. Harley 21286 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium perbracteatum,368,368,99%,2.999999999999999e-97,96.83,222,MG750230.1
"Amphilophium pannosum voucher R. Lozano 1967 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium pannosum,368,368,99%,2.999999999999999e-97,96.83,222,MG750228.1
"Amphilophium paniculatum voucher D. Daly 374 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium paniculatum,368,368,99%,2.999999999999999e-97,96.83,222,MG750227.1
"Amphilophium paniculatum voucher L.G. Lohmann 609 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium paniculatum,368,368,99%,2.999999999999999e-97,96.83,222,MG750226.1
"Amphilophium ecuadorense voucher D. Rubio 1971 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium ecuadorense,368,368,99%,2.999999999999999e-97,96.83,222,MG750216.1
"Amphilophium cuneifolium voucher D. Sasaki 2290 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium cuneifolium,368,368,99%,2.999999999999999e-97,96.83,222,MG750212.1
"Amphilophium bracteatum voucher R.C. Forzza 1440 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium bracteatum,368,368,99%,2.999999999999999e-97,96.83,222,MG750206.1
"Amphilophium blanchetii voucher G. Hatschbach 67723 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium blanchetii,368,368,99%,2.999999999999999e-97,96.83,222,MG750205.1
"Salvia bulleyana chloroplast, complete genome",Salvia bulleyana,368,368,99%,2.999999999999999e-97,96.83,151547,MH603954.1
"Salvia przewalskii chloroplast, complete genome",Salvia przewalskii,368,368,99%,2.999999999999999e-97,96.83,151319,MH603953.1
"Salvia officinalis voucher So_003 chloroplast, complete genome",Salvia officinalis,368,368,99%,2.999999999999999e-97,96.83,151089,NC_038165.1
"Pleonotoma albiflora voucher Matos 1733 chloroplast, complete genome",Pleonotoma albiflora,368,368,99%,2.999999999999999e-97,96.83,159488,NC_037461.1
"Dolichandra cynanchoides voucher L. Galleto 1019 chloroplast, complete genome",Dolichandra cynanchoides,368,368,99%,2.999999999999999e-97,96.83,158110,NC_037460.1
"Adenocalymma cauliflorum chloroplast, partial genome",Adenocalymma cauliflorum,368,368,99%,2.999999999999999e-97,96.83,82092,MG831845.1
"Adenocalymma ubatubense chloroplast, partial genome",Adenocalymma ubatubense,368,368,99%,2.999999999999999e-97,96.83,115404,MG831870.1
"Adenocalymma subincanum chloroplast, partial genome",Adenocalymma subincanum,368,368,99%,2.999999999999999e-97,96.83,115187,MG831867.1
"Adenocalymma pubescens chloroplast, partial genome",Adenocalymma pubescens,368,368,99%,2.999999999999999e-97,96.83,151953,MG831864.1
"Adenocalymma paulistarum chloroplast, partial genome",Adenocalymma paulistarum,368,368,99%,2.999999999999999e-97,96.83,141133,MG831863.1
"Adenocalymma hypostictum chloroplast, partial genome",Adenocalymma hypostictum,368,368,99%,2.999999999999999e-97,96.83,144418,MG831858.1
"Adenocalymma hatschbachii chloroplast, partial genome",Adenocalymma hatschbachii,368,368,99%,2.999999999999999e-97,96.83,155256,MG831857.1
"Adenocalymma grandifolium chloroplast, partial genome",Adenocalymma grandifolium,368,368,99%,2.999999999999999e-97,96.83,147080,MG831856.1
"Adenocalymma gracielzae chloroplast, partial genome",Adenocalymma gracielzae,368,368,99%,2.999999999999999e-97,96.83,155887,MG831855.1
"Adenocalymma gibbosum chloroplast, partial genome",Adenocalymma gibbosum,368,368,99%,2.999999999999999e-97,96.83,143011,MG831854.1
"Adenocalymma flaviflorum chloroplast, partial genome",Adenocalymma flaviflorum,368,368,99%,2.999999999999999e-97,96.83,136621,MG831853.1
"Adenocalymma dichilum chloroplast, partial genome",Adenocalymma dichilum,368,368,99%,2.999999999999999e-97,96.83,148278,MG831850.1
"Adenocalymma coriaceum chloroplast, partial genome",Adenocalymma coriaceum,368,368,99%,2.999999999999999e-97,96.83,159895,MG831848.1
"Adenocalymma cinereum chloroplast, partial genome",Adenocalymma cinereum,368,368,99%,2.999999999999999e-97,96.83,156320,MG831846.1
"Adenocalymma calcareum chloroplast, partial genome",Adenocalymma calcareum,368,368,99%,2.999999999999999e-97,96.83,115485,MG831844.1
"Adenocalymma apurense chloroplast, partial genome",Adenocalymma apurense,368,368,99%,2.999999999999999e-97,96.83,137265,MG831843.1
"Adenocalymma ackermannii chloroplast, partial genome",Adenocalymma ackermannii,368,368,99%,2.999999999999999e-97,96.83,150778,MG831839.1
"Cuspidaria floribunda chloroplast, partial genome",Cuspidaria floribunda,368,368,99%,2.999999999999999e-97,96.83,137727,MG831873.1
"Adenocalymma subsessilifolium chloroplast, partial genome",Adenocalymma subsessilifolium,368,368,99%,2.999999999999999e-97,96.83,155925,MG831868.1
"Adenocalymma scabriusculum chloroplast, partial genome",Adenocalymma scabriusculum,368,368,99%,2.999999999999999e-97,96.83,158482,MG831865.1
"Adenocalymma macrophyllum chloroplast, partial genome",Adenocalymma macrophyllum,368,368,99%,2.999999999999999e-97,96.83,152303,MG831860.1
"Adenocalymma juliae chloroplast, partial genome",Adenocalymma juliae,368,368,99%,2.999999999999999e-97,96.83,152415,MG831859.1
"Adenocalymma cymbalum chloroplast, partial genome",Adenocalymma cymbalum,368,368,99%,2.999999999999999e-97,96.83,144992,MG831849.1
"Adenocalymma acutissimum chloroplast, partial genome",Adenocalymma acutissimum,368,368,99%,2.999999999999999e-97,96.83,154114,MG831841.1
"Pleonotoma albiflora voucher Matos 1733 chloroplast, complete genome",Pleonotoma albiflora,368,368,99%,2.999999999999999e-97,96.83,159488,MG831876.1
"Dolichandra cynanchoides voucher L. Galleto 1019 chloroplast, complete genome",Dolichandra cynanchoides,368,368,99%,2.999999999999999e-97,96.83,158110,MG831874.1
"Adenocalymma trifoliatum voucher L.H.M. Fonseca 413 chloroplast, complete genome",Adenocalymma trifoliatum,368,368,99%,2.999999999999999e-97,96.83,160736,NC_037459.1
"Adenocalymma marginatum voucher L.H.M. Fonseca 117 chloroplast, complete genome",Adenocalymma marginatum,368,368,99%,2.999999999999999e-97,96.83,158797,NC_037457.1
"Adenocalymma acutissimum voucher L.H.M. Fonseca 208 chloroplast, complete genome",Adenocalymma acutissimum,368,368,99%,2.999999999999999e-97,96.83,159752,NC_037455.1
"Mentha spicata chloroplast, complete genome",Mentha spicata,368,368,99%,2.999999999999999e-97,96.83,152132,NC_037247.1
"Adenocalymma peregrinum voucher L.H.M. Fonseca 444 chloroplast, complete genome",Adenocalymma peregrinum,368,368,99%,2.999999999999999e-97,96.83,159187,MG008314.1
"Adenocalymma hatschbachii voucher L.H.M. Fonseca 262 chloroplast, complete genome",Adenocalymma hatschbachii,368,368,99%,2.999999999999999e-97,96.83,158786,MG008312.1
"Adenocalymma bracteatum voucher L.H.M. Fonseca 100 chloroplast, complete genome",Adenocalymma bracteatum,368,368,99%,2.999999999999999e-97,96.83,159725,MG008310.1
"Adenocalymma aurantiacum voucher L.G. Lohmann 658 chloroplast, complete genome",Adenocalymma aurantiacum,368,368,99%,2.999999999999999e-97,96.83,159407,MG008308.1
"Caryopteris mongholica chloroplast, complete genome",Caryopteris mongholica,368,368,99%,2.999999999999999e-97,96.83,151707,MF346535.1
"Salvia japonica chloroplast, complete genome",Salvia japonica,368,368,99%,2.999999999999999e-97,96.83,153995,KY646163.1
"Rehmannia elata chloroplast, complete genome",Rehmannia elata,368,368,99%,2.999999999999999e-97,96.83,153772,KX636161.1
"Rehmannia piasezkii chloroplast, complete genome",Rehmannia piasezkii,368,368,99%,2.999999999999999e-97,96.83,153925,KX636160.1
"Rehmannia solanifolia chloroplast, complete genome",Rehmannia solanifolia,368,368,99%,2.999999999999999e-97,96.83,153989,KX636159.1
"Rehmannia henryi chloroplast, complete genome",Rehmannia henryi,368,368,99%,2.999999999999999e-97,96.83,153890,KX636158.1
"Rehmannia glutinosa chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153622,KX636157.1
"Rehmannia chingii chloroplast, complete genome",Rehmannia chingii,368,368,99%,2.999999999999999e-97,96.83,154055,KX426347.1
"Mentha longifolia chloroplast, complete genome",Mentha longifolia,368,368,99%,2.999999999999999e-97,96.83,152041,KU956042.1
"Monarda fistulosa var. mollis voucher Aust 190 photosystem II protein H (psbH) gene, complete cds; plastid",Monarda fistulosa var. mollis,368,368,99%,2.999999999999999e-97,96.83,222,KT177765.1
"Salvia rosmarinus chloroplast, complete genome",Salvia rosmarinus,368,368,99%,2.999999999999999e-97,96.83,152462,KR232566.1
"Salvia grandifolia chloroplast, complete genome",Salvia grandifolia,368,368,99%,2.999999999999999e-97,96.83,151118,MT156379.1
"Salvia nipponica chloroplast, complete genome",Salvia nipponica,368,368,99%,2.999999999999999e-97,96.83,151484,MT156377.1
"Salvia umbratica chloroplast, complete genome",Salvia umbratica,368,368,99%,2.999999999999999e-97,96.83,151640,MT156375.1
"Salvia oxyphora chloroplast, complete genome",Salvia oxyphora,368,368,99%,2.999999999999999e-97,96.83,151014,MT156374.1
"Salvia madrensis chloroplast, complete genome",Salvia madrensis,368,368,99%,2.999999999999999e-97,96.83,151091,MT156373.1
"Salvia karwinskii chloroplast, complete genome",Salvia karwinskii,368,368,99%,2.999999999999999e-97,96.83,150907,MT156372.1
"Salvia microphylla chloroplast, complete genome",Salvia microphylla,368,368,99%,2.999999999999999e-97,96.83,150873,MT156365.1
"Salvia adenophora chloroplast, complete genome",Salvia adenophora,368,368,99%,2.999999999999999e-97,96.83,151072,MT156363.1
"Salvia plebeia chloroplast, complete genome",Salvia plebeia,368,368,99%,2.999999999999999e-97,96.83,151068,MW381779.1
"Salvia japonica chloroplast, complete genome",Salvia japonica,368,368,99%,2.999999999999999e-97,96.83,151394,MW381778.1
"Salvia chanroenica chloroplast, complete genome",Salvia chanroenica,368,368,99%,2.999999999999999e-97,96.83,151647,MW381777.1
"Salvia chienii chloroplast, complete genome",Salvia chienii,368,368,99%,2.999999999999999e-97,96.83,151530,OK094518.1
"Campsis grandiflora chloroplast, complete genome",Campsis grandiflora,368,368,99%,2.999999999999999e-97,96.83,154303,MW430049.1
"Catalpa purpurea voucher ENC850158 chloroplast, complete genome",Catalpa purpurea,368,368,99%,2.999999999999999e-97,96.83,158105,MW148798.1
"Rehmannia glutinosa voucher TKMII-41-1 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153646,MZ508425.1
"Caryopteris tangutica isolate BOP018181 chloroplast, complete genome",Caryopteris tangutica,368,368,99%,2.999999999999999e-97,96.83,151542,MT731953.1
"Kelloggia chinensis voucher YangLE649 chloroplast, complete genome",Kelloggia chinensis,368,368,99%,2.999999999999999e-97,96.83,155665,OK236359.1
"Salvia castanea f. tomentosa chloroplast, complete genome",Salvia castanea f. tomentosa,368,368,99%,2.999999999999999e-97,96.83,151590,MW387501.1
"Salvia honania chloroplast, complete genome",Salvia honania,368,368,99%,2.999999999999999e-97,96.83,151559,NC_058852.1
"Salvia nanchuanensis chloroplast, complete genome",Salvia nanchuanensis,368,368,99%,2.999999999999999e-97,96.83,151568,NC_058851.1
Salvia miltiorrhiza chloroplast complete genome,Salvia miltiorrhiza,368,368,99%,2.999999999999999e-97,96.83,151332,HF586694.1
"Salvia deserta chloroplast, complete genome",Salvia deserta,368,368,99%,2.999999999999999e-97,96.83,151326,MT156378.1
"Salvia digitaloides chloroplast, complete genome",Salvia digitaloides,368,368,99%,2.999999999999999e-97,96.83,151592,MT156376.1
"Salvia campanulata isolate BOP018207 chloroplast, complete genome",Salvia campanulata,368,368,99%,2.999999999999999e-97,96.83,151658,NC_057284.1
"Tectona grandis chloroplast, complete genome",Tectona grandis,368,368,99%,2.999999999999999e-97,96.83,153953,MT473781.1
"Sphenodesme mollis chloroplast, complete genome",Sphenodesme mollis,368,368,99%,2.999999999999999e-97,96.83,154355,MT473780.1
"Gmelina philippensis chloroplast, complete genome",Gmelina philippensis,368,368,99%,2.999999999999999e-97,96.83,154408,MT473763.1
"Gmelina hainanensis chloroplast, complete genome",Gmelina hainanensis,368,368,99%,2.999999999999999e-97,96.83,154018,MT473762.1
"Gmelina arborea chloroplast, complete genome",Gmelina arborea,368,368,99%,2.999999999999999e-97,96.83,154369,MT473761.1
"Garrettia siamensis chloroplast, complete genome",Garrettia siamensis,368,368,99%,2.999999999999999e-97,96.83,152590,MT473760.1
"Dicrastylis parvifolia chloroplast, complete genome",Dicrastylis parvifolia,368,368,99%,2.999999999999999e-97,96.83,153121,NC_058335.1
"Caryopteris forrestii chloroplast, complete genome",Caryopteris forrestii,368,368,99%,2.999999999999999e-97,96.83,151735,NC_058325.1
"Sesamum indicum chloroplast, complete genome",Sesamum indicum,368,368,99%,2.999999999999999e-97,96.83,153338,KC569603.1
"Paralamium griffithii chloroplast, complete genome",Paralamium griffithii,368,368,99%,2.999999999999999e-97,96.83,152664,MW201575.1
"Mentha canadensis plastid, complete genome",Mentha canadensis,368,368,99%,2.999999999999999e-97,96.83,152050,MF967577.1
"Myoporum bontioides chloroplast, complete genome",Myoporum bontioides,368,368,99%,2.999999999999999e-97,96.83,151719,MW348925.1
"Ligustrum quihoui chloroplast, complete genome",Ligustrum quihoui,368,368,99%,2.999999999999999e-97,96.83,163575,NC_057246.1
"Mentha canadensis chloroplast, complete genome",Mentha canadensis,368,368,99%,2.999999999999999e-97,96.83,152048,MN102358.1
"Salvia miltiorrhiza chloroplast, complete genome",Salvia miltiorrhiza,368,368,99%,2.999999999999999e-97,96.83,151328,JX312195.1
"Tectona grandis complete chloroplast genome, haplotype 3",Tectona grandis,368,368,99%,2.999999999999999e-97,96.83,153943,HF567871.1
"Tectona grandis complete chloroplast genome, haplotype 2",Tectona grandis,368,368,99%,2.999999999999999e-97,96.83,153943,HF567870.1
"Tectona grandis complete chloroplast genome, haplotype 1",Tectona grandis,368,368,99%,2.999999999999999e-97,96.83,153953,HF567869.1
"Salvia yunnanensis chloroplast, complete genome",Salvia yunnanensis,368,368,99%,2.999999999999999e-97,96.83,151338,MN341012.1
"Salvia miltiorrhiza f. alba chloroplast, complete genome",Salvia miltiorrhiza f. alba,368,368,99%,2.999999999999999e-97,96.83,151389,MT012420.1
"Craniotome furcata chloroplast, complete genome",Craniotome furcata,368,368,99%,2.999999999999999e-97,96.83,152521,NC_054194.1
"Rehmannia glutinosa voucher CMQ16223 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153797,MW013795.1
"Rehmannia glutinosa isolate jk2 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153499,MW007384.1
"Rehmannia glutinosa isolate jk1 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153499,MW007383.1
"Rehmannia glutinosa isolate ft1 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153499,MW007382.1
"Rehmannia glutinosa isolate jz chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153499,MW007381.1
"Rehmannia glutinosa isolate cw6 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153678,MW007380.1
"Rehmannia glutinosa isolate jk3 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153637,MW007379.1
"Sesamum indicum chloroplast, complete genome",Sesamum indicum,368,368,99%,2.999999999999999e-97,96.83,153324,JN637766.2
"Eremophila oppositifolia voucher MELUD118629a plastid, complete genome",Eremophila oppositifolia,368,368,99%,2.999999999999999e-97,96.83,151715,NC_050958.1
"Diocirea violacea voucher MELUD119022a plastid, complete genome",Diocirea violacea,368,368,99%,2.999999999999999e-97,96.83,151900,NC_050957.1
"Myoporum bontioides voucher MELU pending plastid, complete genome",Myoporum bontioides,368,368,99%,2.999999999999999e-97,96.83,151742,NC_050956.1
"Myoporum laetum voucher MPN51304 plastid, complete genome",Myoporum laetum,368,368,99%,2.999999999999999e-97,96.83,151725,NC_050955.1
"Clinopodium chinense chloroplast, complete genome",Clinopodium chinense,368,368,99%,2.999999999999999e-97,96.83,151989,NC_050943.1
"Salvia plebeia chloroplast, complete genome",Salvia plebeia,368,368,99%,2.999999999999999e-97,96.83,151062,NC_050929.1
"Salvia yunnanensis chloroplast, complete genome",Salvia yunnanensis,368,368,99%,2.999999999999999e-97,96.83,151413,NC_050903.1
"Salvia splendens chloroplast, complete genome",Salvia splendens,368,368,99%,2.999999999999999e-97,96.83,150604,NC_050901.1
"Salvia sclarea chloroplast, complete genome",Salvia sclarea,368,368,99%,2.999999999999999e-97,96.83,151268,NC_050900.1
"Salvia nilotica chloroplast, complete genome",Salvia nilotica,368,368,99%,2.999999999999999e-97,96.83,151450,NC_050898.1
"Salvia merjamie chloroplast, complete genome",Salvia merjamie,368,368,99%,2.999999999999999e-97,96.83,151286,NC_050897.1
"Salvia meiliensis chloroplast, complete genome",Salvia meiliensis,368,368,99%,2.999999999999999e-97,96.83,151614,NC_050896.1
"Salvia digitaloides chloroplast, complete genome",Salvia digitaloides,368,368,99%,2.999999999999999e-97,96.83,152159,NC_050895.1
"Gmelina hainanensis chloroplast, complete genome",Gmelina hainanensis,368,368,99%,2.999999999999999e-97,96.83,154065,NC_053620.1
"Salvia castanea f. castanea plastid, complete genome",Salvia castanea f. castanea,368,368,99%,2.999999999999999e-97,96.83,154984,MT634150.1
"Salvia sp. HW-2020 plastid, complete genome",Salvia sp. HW-2020,368,368,99%,2.999999999999999e-97,96.83,152658,MT634149.1
"Melissa yunnanensis plastid, complete genome",Melissa yunnanensis,368,368,99%,2.999999999999999e-97,96.83,151985,NC_053382.1
"Melissa axillaris plastid, complete genome",Melissa axillaris,368,368,99%,2.999999999999999e-97,96.83,151885,NC_053381.1
"Salvia mekongensis plastid, complete genome",Salvia mekongensis,368,368,99%,2.999999999999999e-97,96.83,151746,NC_053380.1
"Salvia rosmarinus plastid, complete genome",Salvia rosmarinus,368,368,99%,2.999999999999999e-97,96.83,151695,MT634145.1
"Salvia cyclostegia plastid, complete genome",Salvia cyclostegia,368,368,99%,2.999999999999999e-97,96.83,151644,NC_053379.1
"Salvia umbratica plastid, complete genome",Salvia umbratica,368,368,99%,2.999999999999999e-97,96.83,151606,NC_053377.1
"Salvia castanea f. tomentosa plastid, complete genome",Salvia castanea f. tomentosa,368,368,99%,2.999999999999999e-97,96.83,151589,MT634141.1
"Salvia flava plastid, complete genome",Salvia flava,368,368,99%,2.999999999999999e-97,96.83,151489,NC_053376.1
"Salvia cavaleriei plastid, complete genome",Salvia cavaleriei,368,368,99%,2.999999999999999e-97,96.83,151432,NC_053375.1
"Salvia plectranthoides plastid, complete genome",Salvia plectranthoides,368,368,99%,2.999999999999999e-97,96.83,151416,NC_053374.1
"Salvia subpalmatinervis plastid, complete genome",Salvia subpalmatinervis,368,368,99%,2.999999999999999e-97,96.83,151385,NC_053373.1
"Salvia brachyloma plastid, complete genome",Salvia brachyloma,368,368,99%,2.999999999999999e-97,96.83,151329,NC_053372.1
"Salvia przewalskii plastid, complete genome",Salvia przewalskii,368,368,99%,2.999999999999999e-97,96.83,151316,MT634135.1
"Salvia yunnanensis plastid, complete genome",Salvia yunnanensis,368,368,99%,2.999999999999999e-97,96.83,150829,MT634133.1
"Rehmannia glutinosa cultivar Wen 85-5 chloroplast, complete genome",Rehmannia glutinosa,368,368,99%,2.999999999999999e-97,96.83,153499,MT732492.1
"Eremophila oppositifolia voucher MELUD118629a plastid, complete genome",Eremophila oppositifolia,368,368,99%,2.999999999999999e-97,96.83,151715,MN044645.1
"Diocirea violacea voucher MELUD119022a plastid, complete genome",Diocirea violacea,368,368,99%,2.999999999999999e-97,96.83,151900,MN044644.1
"Calamphoreus inflatus plastid, partial genome",Calamphoreus inflatus,368,368,99%,2.999999999999999e-97,96.83,151631,MN044643.1
